در,22040868
به,16175021
از,14215215
که,10140889
این,7669083
را,7492696
است,5884928
با,5768215
آن,3336928
برای,2992492
سال,2886967
شد,2431946
بود,2265055
او,2163220
بر,1946017
تا,1774050
خود,1756543
کرد,1725219
شده,1464225
می‌شود,1292707
دارد,1292259
شده‌است,1230935
قرار,1178967
پس,1152106
دو,1107394
عنوان,1091146
ایران,995515
آن‌ها,994725
توسط,957046
استفاده,927988
دیگر,861172
اما,849084
مورد,790203
می‌کند,729236
شهر,721932
کشور,614196
صورت,612599
کار,598940
روی,592693
اصلی,566162
زمان,561332
داد,547935
دست,541422
بین,533198
تاریخ,528083
باشد,523851
جمعیت,523319
پیش,509614
زیر,499693
داشت,496029
بازی,490882
انجام,475584
می‌توان,469998
مانند,456723
بعد,455478
کند,451229
برخی,447977
بیشتر,446900
شرکت,441370
بودند,433723
دارای,429727
میان,427967
کرده,420803
بوده‌است,413300
اشاره,411599
روز,411478
فیلم,400720
شامل,400082
سه,399872
بسیار,399385
می‌باشد,395823
آغاز,393347
کردند,391677
بخش,391279
شود,391227
اهل,386178
مردم,385607
داده,368118
اولین,364129
بسیاری,362601
طول,359316
اثر,357786
دلیل,356013
ایجاد,354185
تنها,352986
بار,352874
کتاب,352351
می‌کنند,352213
به‌طور,351198
می‌دهد,350605
می,350007
زبان,346695
دولت,345547
برابر,345280
گرفت,343605
شدند,341130
میلادی,339065
چند,337775
جمله,334778
گروه,334231
اعلام,329653
حال,328763
تولید,326828
ایالات,325383
آمریکا,324660
زاده,323032
شدن,320763
سطح,320391
داشته,315515
تشکیل,313430
دوره,312334
ثبت,312226
حدود,311472
منتشر,309579
ساخته,307990
منطقه,306000
باید,303333
دارند,301520
کردن,296943
می‌شوند,295050
زندگی,293753
بوده,292654
متر,292055
جنگ,289860
تیم,288600
بزرگ,288589
کرده‌است,286265
اساس,281104
جهان,280781
شکل,280665
بیش,278565
ملی,275842
مربوط,273531
گرفته,272458
تحت,272249
باعث,269650
می‌تواند,268737
ممکن,268328
اول,268253
مختلف,267491
پایان,265130
تأسیس,264667
درباره,264659
اگر,263038
دوران,259640
دوم,257716
توجه,257143
ماه,256548
سوی,254573
راه,254393
آب,254331
تغییر,253183
حضور,252310
طی,247672
مقاله,247327
روستا,247026
اینکه,245711
سپس,243740
ساخت,240991
فهرست,240527
زیادی,240298
ای,239809
کشف,238642
انتخاب,237833
گفته,235537
افزایش,235051
سازمان,232838
کنند,231656
تعداد,231229
تمام,228744
ادامه,228302
دیگری,228057
شاه,227171
حکومت,224908
قابل,222282
علی,221228
می‌شد,219469
جدید,218975
افراد,217445
۲,215310
سیاسی,214339
شناخته,213525
آثار,212541
سر,211889
دانشگاه,210821
چون,209086
خواهد,208664
تبدیل,208633
تهران,207233
مرکز,206034
بدون,205010
چهار,204505
فعالیت,202962
طریق,201819
به‌عنوان,201505
بن,200990
تصویب,198612
کمک,197014
۱,196558
محمد,195981
جای,195541
قانون,195302
پیدا,195207
ایرانی,194708
شمال,194103
۳,193298
مرگ,193291
زمانی,192754
قبل,192753
جنوب,192410
می‌کرد,192133
سمت,191973
شروع,191826
حتی,190688
برگزار,189878
مجموعه,189265
اسلامی,189243
می شود,188625
معمولاً,188300
جهت,184959
چنین,184392
آنان,183066
دریافت,180767
قدرت,180739
مجلس,180458
حمله,180443
گفت,179752
کاهش,179676
شماره,178576
رسید,178557
ارائه,176251
بین‌المللی,176190
شهرستان,176137
زمین,175233
جمهوری,175164
سیستم,173141
مدت,172027
قرن,171015
کنار,170738
۵,169631
روستایی,169512
آنجا,168704
مناطق,166924
براساس,166761
زنان,165278
۴,164208
روش,163914
مسکونی,163546
۱۰,163338
طراحی,162874
جهانی,161293
اطلاعات,160708
گزارش,160481
موسیقی,160432
جریان,159773
منابع,159322
درصد,158502
شکست,158404
موارد,158247
کامل,157980
سایر,157449
موجود,155998
شده‌اند,154567
توابع,154269
کشتی,154232
میلاد,153066
رئیس,152661
انتخابات,152172
بالا,151620
متحده,150496
عمل,150234
خارج,150123
استان,149082
فصل,148745
اعضای,148718
ریاست,148232
محل,147683
رسمی,147529
حزب,146913
شورای,146712
بررسی,146696
برنامه,146592
دریا,146088
توسعه,145841
فارسی,145609
چندین,145416
گردید,144882
داشتند,144592
دور,144570
روستای,144555
بنا,144451
مسابقات,143975
بخشی,143970
معروف,143908
غربی,143786
کشته,143546
مواد,143435
ما,142316
کنترل,142064
فقط,141658
مساحت,141651
رخ,141629
ارتش,141324
۱۵,141317
بودن,140322
فوتبال,140166
عضو,139869
دهه,139719
حمایت,139612
تاریخی,139004
رفت,138927
علیه,138677
۶,138590
ابتدا,138312
کسب,138241
حالی,137816
معرفی,137156
پی,136893
قسمت,136610
غیر,136561
حرکت,136477
ساعت,135968
مهم,135534
بالاتر,135496
بیان,135493
ژانویه,134776
شده است,134137
اجتماعی,133951
می‌گیرد,133742
تأثیر,133537
چه,133196
زیرا,132934
علاوه,132792
خط,132328
می‌کردند,131346
سوم,130912
اجرا,130195
مشخص,130138
عمومی,129769
ترتیب,129759
حالت,129386
آلبوم,128930
غرب,128486
مقابل,127886
آمریکایی,127377
موضوع,127343
موفق,127268
کیلومتر,127012
دادن,126999
دنیا,126706
کل,126638
رسیده,126564
حاضر,126378
طرف,125322
پنج,124834
میزان,124651
مرکزی,124281
۲۰,124177
شرقی,123993
آزاد,123942
بزرگ‌ترین,123401
علمی,122934
ارتباط,122732
سرعت,122040
داستان,121837
کوچک,121752
ازدواج,121750
خانه,121566
۱۲,121298
انتشار,120618
بهترین,120209
اغلب,119743
پرداخت,119571
۷,119404
پسر,119382
گسترش,119144
دستور,118735
شرایط,118717
زمینه,118626
علت,118040
انقلاب,117450
طرح,117353
کرده‌اند,116984
تقسیم,116922
آموزش,116875
طبق,116514
انگلیسی,116318
تن,116255
دیده,115806
مارس,115716
آخرین,115605
می‌گوید,115554
دهد,115448
شبکه,115179
۸,115162
تلاش,115047
انسان,115017
پخش,114414
آمد,114265
منجر,114210
خانواده,113371
محلی,113027
تهیه,112891
اقتصادی,111946
سپتامبر,111740
چاپ,111542
زن,111464
رو,111278
بیماری,111078
رنگ,110821
موجب,110189
می‌دهند,110124
کارگردانی,110065
سیارک,109786
حقوق,109634
شرق,109514
باشگاه,109427
باز,109413
داخل,109365
دنبال,109347
خاطر,109318
جامعه,109127
البته,109045
پیروزی,109042
معنی,108819
امنیت,108801
اجرای,108670
انتقال,108623
بعضی,108581
من,108423
می‌رود,108366
کلی,107937
اکتبر,107887
شوند,107703
آلمان,107527
گونه,107486
فرد,107404
درجه,107344
پایه,107158
باشند,106838
اولیه,106731
رشته,106707
پدر,106184
آوریل,106057
تعیین,105889
۳۰,105867
بازگشت,105807
۹,105587
تقریباً,105575
شهری,105339
۲۵,104953
ژوئن,104925
تعریف,104871
تصمیم,104549
رشد,104360
طبیعی,104229
می‌توانند,104147
دادند,104075
خاص,104027
داخلی,103973
داشته‌است,103739
دسامبر,103597
منظور,103596
اروپا,102802
کم,102763
درگذشت,102741
گذشته,102491
اسلام,102138
کمتر,102033
اوت,101965
آورد,101909
بنابراین,101851
سبک,101208
جان,101191
امور,101090
انرژی,100863
می‌رسد,100798
فرزند,100401
انواع,99521
عراق,99444
عهده,99321
۱۸,99301
خارجی,99066
فرودگاه,98977
محسوب,98901
بزرگی,98865
علوم,98731
برد,98526
بلکه,98321
جنوبی,98286
ساختمان,98167
اواخر,98042
میدان,97603
فرهنگ,97343
مشغول,97242
معنای,96713
دوباره,96301
رابطه,96170
فرهنگی,96114
تلویزیونی,95988
پیشنهاد,95783
مقام,95704
۱۱,95558
رهبری,95431
دستگاه,95262
حسین,95250
ارتفاع,95143
اقدام,95130
عدم,94898
فرانسه,94554
کشاورزی,94546
ذکر,94390
امکان,94112
مراسم,94097
حسن,93784
مرحله,93694
مقدار,93640
مطرح,93593
دلار,93431
توانست,93405
مثل,93258
سفر,93177
ترک,92926
بیشتری,92601
آمار,92436
حفظ,92393
عملیات,92305
ماده,92224
آمده,92106
متفاوت,92085
مدیریت,92058
سید,91881
خاک,91790
۱۴,91502
بازار,91408
کسی,91362
۱۶,91300
مسیر,91138
بعدها,91051
سپاه,90855
فروش,90798
فراهم,90733
تمامی,90502
امروزه,90218
اداره,90127
باقی,90033
عبارت,90028
سن,89870
برنامه‌های,89853
مثال,89743
گل,89573
اجازه,89558
